	CONCEPT	LANGUAGE	IPA
1	all 	Western Xiangxi	sa5
2	all 	Eastern Xiangxi	xa31
3	all 	Qiandong	sɛ4
4	all 	Chuanqiandian	təu1
5	all 	Diandongbei	tu5
6	all 	Hmong Daw	hu3
7	all 	Hmong Njua	cɨ6
8	all 	Bunu	tu5
9	all 	Baonao	kou5
10	all 	Numao	tey4
11	all 	Longhua Jiongnai	tu44
12	all 	Liuxiang Jiongnai	tu44
13	all 	Xiaozhai Younuo	tou33
14	all 	Huangluo Younuo	tu33
15	all 	Northern Pa-Hng	tɔ33
16	all 	Southern Pa-Hng	tɦɔ33
17	all 	Hm-Nai	ki̯ei55 
18	ashes 	Western Xiangxi	ʆi3
19	ashes 	Eastern Xiangxi	pʰi55
20	ashes 	Qiandong	ʆʰu3
21	ashes 	Chuanqiandian	c̢ʰəu3
22	ashes 	Diandongbei	c̢ʰao3
23	ashes 	Hmong Daw	čʰɔw3
24	ashes 	Hmong Njua	čʰau2
25	ashes 	Bunu	sʰa3
26	ashes 	Baonao	sʰi̯a3
27	ashes 	Numao	ʆu3
28	ashes 	Longhua Jiongnai	θe53
29	ashes 	Liuxiang Jiongnai	θey35
30	ashes 	Xiaozhai Younuo	cʰɔ22
31	ashes 	Huangluo Younuo	cʰɔ22
32	ashes 	Northern Pa-Hng	si22
33	ashes 	Southern Pa-Hng	ʆe31
34	ashes 	Hm-Nai	ʆi13
35	big	Western Xiangxi	li̯o2
36	big	Eastern Xiangxi	ʎ̥ʰɔ53 
37	big	Qiandong	 l̥ʰiǝ1
38	big	Chuanqiandian	lo2
39	big	Diandongbei	laɯ4
40	big	Hmong Daw	lɔ2
41	big	Hmong Njua	lu5
42	big	Bunu	laŋ8
43	big	Baonao	lʰi̯uɔ1
44	big	Numao	lo8
45	big	Longhua Jiongnai	l̥i̯eu44
46	big	Liuxiang Jiongnai	 l̥i̯eu44
47	big	Xiaozhai Younuo	liu33
48	big	Huangluo Younuo	liu33
49	big	Northern Pa-Hng	 l̥i̯o35
50	big	Southern Pa-Hng	 l̥i̯o35
51	big	Hm-Nai	 l̥i̯o35
52	bird 	Western Xiangxi	nu6
53	bird 	Eastern Xiangxi	nɔ11
54	bird 	Qiandong	nəu6
55	bird 	Chuanqiandian	noŋ6
56	bird 	Diandongbei	nao6
57	bird 	Hmong Daw	nõ6
58	bird 	Hmong Njua	noŋ6
59	bird 	Bunu	naŋ6
60	bird 	Baonao	nuɔ6
61	bird 	Numao	nou6
62	bird 	Longhua Jiongnai	nɔuŋ22
63	bird 	Liuxiang Jiongnai	nɔ21
64	bird 	Xiaozhai Younuo	noŋ31
65	bird 	Huangluo Younuo	noŋ22
66	bird 	Northern Pa-Hng	moŋ44
67	bird 	Southern Pa-Hng	mõ44
68	bird 	Hm-Nai	nuŋ31
69	black 	Western Xiangxi	qu̯e1
70	black 	Eastern Xiangxi	qwe53
71	black 	Qiandong	ɬɛ1
72	black 	Chuanqiandian	tlo1
73	black 	Diandongbei	ƛu1
74	black 	Hmong Daw	ʼdu1
75	black 	Hmong Njua	ƛu1
76	black 	Bunu	ƛuŋ1
77	black 	Baonao	ƛi̯ɔ1
78	black 	Numao	ƛi̯uŋ1
79	black 	Longhua Jiongnai	klaŋ44
80	black 	Liuxiang Jiongnai	klã44
81	black 	Xiaozhai Younuo	kuŋ33
82	black 	Huangluo Younuo	ku33
83	black 	Northern Pa-Hng	kwaŋ33
84	black 	Southern Pa-Hng	kɦwɔ̃33
85	black 	Hm-Nai	quŋ31
86	blood 	Western Xiangxi	ɲɕʰin3
87	blood 	Eastern Xiangxi	cʰe55
88	blood 	Qiandong	ʃʰaŋ3
89	blood 	Chuanqiandian	nc̢ʰaŋ3
90	blood 	Diandongbei	ɳc̢aɯ3
91	blood 	Hmong Daw	nčʰa3
92	blood 	Hmong Njua	ɲčʰaŋ2
93	blood 	Bunu	ncʰəŋ3
94	blood 	Baonao	ncʰɒ3
95	blood 	Numao	ncʰi̯ɑn3 
96	blood 	Longhua Jiongnai	θi53
97	blood 	Liuxiang Jiongnai	θi35
98	blood 	Xiaozhai Younuo	cʰun22
99	blood 	Huangluo Younuo	cʰun22
100	blood 	Northern Pa-Hng	ɲ̥ei22
101	blood 	Southern Pa-Hng	ɲ̥ɕe31
102	blood 	Hm-Nai	 ɲ̥ɕʰei13
103	bone 	Western Xiangxi	soŋ3
104	bone 	Eastern Xiangxi	sɤ55
105	bone 	Qiandong	cʰaɯ5
106	bone 	Chuanqiandian	sʰoŋ3
107	bone 	Diandongbei	cʰaɯ5
108	bone 	Hmong Daw	cʰa4
109	bone 	Hmong Njua	cʰaŋ3
110	bone 	Bunu	θʰɔŋ3
111	bone 	Baonao	tθʰɒ3
112	bone 	Numao	soŋ3
113	bone 	Longhua Jiongnai	θaŋ53
114	bone 	Liuxiang Jiongnai	θaŋ35
115	bone 	Xiaozhai Younuo	tʰəŋ22
116	bone 	Huangluo Younuo	tʰaŋ22
117	bone 	Northern Pa-Hng	soŋ22
118	bone 	Southern Pa-Hng	sõ31
119	bone 	Hm-Nai	suŋ13
120	burn tr. 	Western Xiangxi	ɔ1
121	burn tr. 	Eastern Xiangxi	ɔ53
122	burn tr. 	Qiandong	tio3
123	burn tr. 	Chuanqiandian	fau3
124	burn tr. 	Diandongbei	ƛao3
125	burn tr. 	Hmong Daw	 l̥ǝw3
126	burn tr. 	Hmong Njua	ɬaʉ2
127	burn tr. 	Bunu	ʈa3
128	burn tr. 	Baonao	ɕa3
129	burn tr. 	Numao	ti̯u3
130	burn tr. 	Longhua Jiongnai	v̥a53
131	burn tr. 	Liuxiang Jiongnai	hwa35
132	burn tr. 	Xiaozhai Younuo	tʰou22
133	burn tr. 	Huangluo Younuo	tʰou22
134	burn tr. 	Northern Pa-Hng	pʰo22
135	burn tr. 	Southern Pa-Hng	pʰo31
136	burn tr. 	Hm-Nai	ti̯aŋ35
137	cold 	Western Xiangxi	cɛ̃4
138	cold 	Eastern Xiangxi	ʒɛ35
139	cold 	Qiandong	sei4
140	cold 	Chuanqiandian	ʒa6
141	cold 	Diandongbei	ɕie4
142	cold 	Hmong Daw	ci̯a5
143	cold 	Hmong Njua	ca6
144	cold 	Bunu	θəŋ4 
145	cold 	Baonao	tθey4
146	cold 	Numao	ncɑn6 
147	cold 	Longhua Jiongnai	naŋ35
148	cold 	Liuxiang Jiongnai	naŋ22
149	cold 	Xiaozhai Younuo	naŋ35
150	cold 	Huangluo Younuo	naŋ53
151	cold 	Northern Pa-Hng	ɲaŋ55
152	cold 	Southern Pa-Hng	ɲɔ̃55
153	cold 	Hm-Nai	ɲaŋ55
154	come 	Western Xiangxi	lo4
155	come 	Eastern Xiangxi	lɔ33
156	come 	Qiandong	ta2
157	come 	Chuanqiandian	tua2
158	come 	Diandongbei	ta2
159	come 	Hmong Daw	tu̯ǝ2
160	come 	Hmong Njua	tu̯a5
161	come 	Bunu	lɔ4
162	come 	Baonao	tuɔ2
163	come 	Numao	lɑu4
164	come 	Longhua Jiongnai	lɔu31
165	come 	Liuxiang Jiongnai	lo53
166	come 	Xiaozhai Younuo	tɔ13
167	come 	Huangluo Younuo	tɔ13
168	come 	Northern Pa-Hng	tei33
169	come 	Southern Pa-Hng	tɦe33
170	come 	Hm-Nai	te33
171	dog 	Western Xiangxi	qu̯ɯ3
172	dog 	Eastern Xiangxi	qʋ55
173	dog 	Qiandong	ɬa3
174	dog 	Chuanqiandian	tle3
175	dog 	Diandongbei	ƛa3
176	dog 	Hmong Daw	ʼde3
177	dog 	Hmong Njua	ƛe2
178	dog 	Bunu	ƛe3
179	dog 	Baonao	ƛey3
180	dog 	Numao	ƛi̯ɑ3
181	dog 	Longhua Jiongnai	kla53
182	dog 	Liuxiang Jiongnai	kla35
183	dog 	Xiaozhai Younuo	kou22
184	dog 	Huangluo Younuo	kou22
185	dog 	Northern Pa-Hng	li̯aŋ53
186	dog 	Southern Pa-Hng	li̯ɔ̃53
187	dog 	Hm-Nai	li̯aŋ53
188	drink 	Western Xiangxi	xu3
189	drink 	Eastern Xiangxi	xɔ35
190	drink 	Qiandong	həu7
191	drink 	Chuanqiandian	heu7
192	drink 	Diandongbei	hao7
193	drink 	Hmong Daw	hɔw5
194	drink 	Hmong Njua	hau4
195	drink 	Bunu	hu7
196	drink 	Baonao	hau7
197	drink 	Numao	xɤ7
198	drink 	Longhua Jiongnai	xɔ43
199	drink 	Liuxiang Jiongnai	həu43
200	drink 	Xiaozhai Younuo	hɔ31
201	drink 	Huangluo Younuo	hɔ31
202	drink 	Northern Pa-Hng	hɔ53
203	drink 	Southern Pa-Hng	hɔ53
204	drink 	Hm-Nai	hau53
205	dry 	Western Xiangxi	qʰä3
206	dry 	Eastern Xiangxi	qʰɛ55
207	dry 	Qiandong	ŋa6
208	dry 	Chuanqiandian	qʰua3
209	dry 	Diandongbei	nqʰa1
210	dry 	Hmong Daw	qʰu̯ǝ3
211	dry 	Hmong Njua	qʰu̯a2
212	dry 	Bunu	ŋkʰen3
213	dry 	Baonao	ɕẽ5
214	dry 	Numao	ŋkʰɑn3
215	dry 	Longhua Jiongnai	ŋkʰey44
216	dry 	Liuxiang Jiongnai	ŋkay44
217	dry 	Xiaozhai Younuo	kʰey22
218	dry 	Huangluo Younuo	kʰey22
219	dry 	Northern Pa-Hng	qʰei22
220	dry 	Southern Pa-Hng	qʰe31
221	dry 	Hm-Nai	qʰe13
222	ear 	Western Xiangxi	mɹɯ2
223	ear 	Eastern Xiangxi	mi̯ɯ31
224	ear 	Qiandong	nɛ2
225	ear 	Chuanqiandian	c̢e2
226	ear 	Diandongbei	mpǝ2
227	ear 	Hmong Daw	nǯe2
228	ear 	Hmong Njua	ɲǯe5
229	ear 	Bunu	mpi̯e2
230	ear 	Baonao	mpce2
231	ear 	Numao	mpi̯ey2
232	ear 	Longhua Jiongnai	mpi̯a33
233	ear 	Liuxiang Jiongnai	mpi̯a31
